AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Desc,Weapon Desc,Status Desc,Hour,DayOfWeek,IsWeekend,TimeOfDay,IsNight,TimeToReport_Hours,Occ_Month,Has_Cross_Street_np,Location_Cluster,Hour_Sin,Hour_Cos
West Valley,DOCUMENT FORGERY / STOLEN FELONY,0,M,W,CHECK CASHING*,undefined,Invest Cont,20,Friday,0,Evening,0,0.0,8,0,3,-0.8660254037844386,0.5000000000000001
Hollywood,ROBBERY,22,F,B,MTA - RED LINE - HOLLYWOOD/HIGHLAND,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,8,Sunday,1,Morning,0,0.0,12,1,6,0.8660254037844387,-0.4999999999999998
Central,BURGLARY FROM VEHICLE,38,F,W,STREET,undefined,Invest Cont,12,Saturday,1,Afternoon,0,432.0,9,0,9,1.2246467991473532e-16,-1.0
Northeast,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",31,M,H,STREET,UNKNOWN FIREARM,Invest Cont,8,Friday,0,Morning,0,0.0,12,1,14,0.8660254037844387,-0.4999999999999998
Southeast,BRANDISH WEAPON,49,M,H,AUTO REPAIR SHOP,KNIFE WITH BLADE 6INCHES OR LESS,Invest Cont,19,Monday,0,Evening,0,0.0,9,0,13,-0.9659258262890684,0.2588190451025203
Wilshire,ROBBERY,43,F,W,PARKING LOT,HAND GUN,Adult Other,21,Friday,0,Evening,0,0.0,1,0,12,-0.7071067811865477,0.7071067811865474
Newton,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",65,M,B,"VEHICLE, PASSENGER/TRUCK",undefined,Invest Cont,10,Sunday,1,Morning,0,0.0,1,0,9,0.49999999999999994,-0.8660254037844387
Hollenbeck,VANDALISM - MISDEAMEANOR ($399 OR UNDER),37,M,H,SINGLE FAMILY DWELLING,undefined,Invest Cont,20,Sunday,1,Evening,0,0.0,10,0,14,-0.8660254037844386,0.5000000000000001
Southeast,INTIMATE PARTNER - AGGRAVATED ASSAULT,20,F,B,SINGLE FAMILY DWELLING,SEMI-AUTOMATIC PISTOL,Invest Cont,21,Friday,0,Evening,0,24.0,11,0,13,-0.7071067811865477,0.7071067811865474
West LA,THEFT PLAIN - PETTY ($950 & UNDER),0,M,W,SINGLE FAMILY DWELLING,undefined,Invest Cont,5,Saturday,1,Night,1,0.0,3,0,12,0.9659258262890683,0.25881904510252074
77th Street,BATTERY - SIMPLE ASSAULT,30,M,H,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,1,Monday,0,Night,1,0.0,4,0,0,0.25881904510252074,0.9659258262890683
Southeast,VANDALISM - MISDEAMEANOR ($399 OR UNDER),30,F,B,"VEHICLE, PASSENGER/TRUCK",undefined,Invest Cont,7,Friday,0,Morning,0,0.0,5,0,13,0.9659258262890683,-0.25881904510252063
West Valley,INTIMATE PARTNER - SIMPLE ASSAULT,43,F,H,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,16,Monday,0,Afternoon,0,0.0,4,0,7,-0.8660254037844385,-0.5000000000000004
Foothill,VIOLATION OF RESTRAINING ORDER,45,M,H,SINGLE FAMILY DWELLING,undefined,Adult Other,18,Wednesday,0,Evening,0,0.0,9,0,19,-1.0,-1.8369701987210297e-16
Hollywood,ROBBERY,29,F,H,STREET,HAND GUN,Invest Cont,20,Friday,0,Evening,0,0.0,6,0,6,-0.8660254037844386,0.5000000000000001
Southeast,ROBBERY,51,M,B,HOTEL,SEMI-AUTOMATIC PISTOL,Invest Cont,22,Wednesday,0,Night,1,24.0,4,1,13,-0.5000000000000004,0.8660254037844384
Hollywood,DOCUMENT FORGERY / STOLEN FELONY,60,M,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",undefined,Invest Cont,15,Friday,0,Afternoon,0,1272.0,6,0,6,-0.7071067811865471,-0.7071067811865479
Topanga,INTIMATE PARTNER - SIMPLE ASSAULT,21,F,O,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,5,Monday,0,Night,1,0.0,6,0,7,0.9659258262890683,0.25881904510252074
